JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457826.31627,15.679,0.088,,B,DUBF,,000-BKF-957,000-BKM-137,X16934AEP,STANDARD MAG: C = 15.280  K = 15.436,0,1.31,Z,20.806,21.022,,AA TAU,VVS,STD,,,,
2457826.31705,15.706,0.091,,B,DUBF,,000-BKF-957,000-BKM-137,X16934AEP,STANDARD MAG: C = 15.280  K = 15.436,0,1.31,Z,20.891,20.961,,AA TAU,VVS,STD,,,,
2457826.31775,13.571,0.030,,R,DUBF,,000-BKF-957,000-BKM-137,X16934AEP,STANDARD MAG: C = 13.346  K = 13.630,0,1.31,Z,19.074,19.354,,AA TAU,VVS,STD,,,,
2457826.31818,13.606,0.027,,R,DUBF,,ENSEMBLE,000-BKM-137,X16934AEP,STANDARD MAG:  K = 13.630,0,1.31,Z,,19.355,,AA TAU,VVS,STD,,,,
2457826.31818,13.578,0.031,,R,DUBF,,000-BKF-957,000-BKM-137,X16934AEP,STANDARD MAG: C = 13.346  K = 13.630,0,1.31,Z,19.158,19.355,,AA TAU,VVS,STD,,,,
2457828.29674,15.011,0.028,,V,DUBF,,000-BKF-957,000-BKM-137,X16934AEP,STANDARD MAG: C = 14.179  K = 14.425,0,1.26,Z,18.820,19.076,,AA TAU,VVS,STD,,,,
2457828.29751,15.041,0.028,,V,DUBF,,000-BKF-957,000-BKM-137,X16934AEP,STANDARD MAG: C = 14.179  K = 14.425,0,1.26,Z,18.839,19.063,,AA TAU,VVS,STD,,,,
2457828.29839,16.589,0.102,,B,DUBF,,000-BKF-957,000-BKM-137,X16934AEP,STANDARD MAG: C = 15.280  K = 15.436,0,1.26,Z,20.354,20.777,,AA TAU,VVS,STD,,,,
2457828.29917,16.180,0.079,,B,DUBF,,000-BKF-957,000-BKM-137,X16934AEP,STANDARD MAG: C = 15.280  K = 15.436,0,1.26,Z,20.481,20.768,,AA TAU,VVS,STD,,,,
2457828.29987,13.685,0.017,,R,DUBF,,000-BKF-957,000-BKM-137,X16934AEP,STANDARD MAG: C = 13.346  K = 13.630,0,1.27,Z,18.698,18.935,,AA TAU,VVS,STD,,,,
2457828.30029,13.743,0.018,,R,DUBF,,000-BKF-957,000-BKM-137,X16934AEP,STANDARD MAG: C = 13.346  K = 13.630,0,1.27,Z,18.714,18.929,,AA TAU,VVS,STD,,,,
2457828.66000,14.845,0.025,,V,WRCA,,ENSEMBLE,122,13598BNA,,0,1.538,Z,,12.228,,AA TAU,AAVSO,STD,,,,
2457831.56724,16.782,0.032,,B,MJB,,000-BKF-955,000-BKF-957,13222QC,STANDARD MAG: C = 14.059  K = 15.280,0,1.24,Z,17.777,18.897,,AA TAU,AAVSO,STD,,,,
2457831.57042,15.250,0.013,,V,MJB,,000-BKF-955,000-BKF-957,13222QC,STANDARD MAG: C = 13.052  K = 14.179,0,1.25,Z,17.246,18.394,,AA TAU,AAVSO,STD,,,,
2457831.57201,12.627,0.007,,I,MJB,,000-BKF-955,000-BKF-957,13222QC,STANDARD MAG: C = 11.506  K = 12.574,0,1.25,Z,17.327,18.446,,AA TAU,AAVSO,STD,,,,
2457835.65566,15.692,0.032,,V,WRCA,,ENSEMBLE,122,13598BNA,,0,1.697,Z,,12.228,,AA TAU,AAVSO,STD,,,,
2457837.30338,15.289,0.067,,V,DUBF,,000-BKF-957,000-BKM-137,X16934AEP,STANDARD MAG: C = 14.179  K = 14.425,0,1.38,Z,19.030,19.294,,AA TAU,VVS,STD,,,,
2457837.30416,15.205,0.046,,V,DUBF,,000-BKF-957,000-BKM-137,X16934AEP,STANDARD MAG: C = 14.179  K = 14.425,0,1.39,Z,19.053,19.344,,AA TAU,VVS,STD,,,,
2457837.30650,13.859,0.026,,R,DUBF,,000-BKF-957,000-BKM-137,X16934AEP,STANDARD MAG: C = 13.346  K = 13.630,0,1.40,Z,18.964,19.162,,AA TAU,VVS,STD,,,,
2457837.30693,13.906,0.027,,R,DUBF,,000-BKF-957,000-BKM-137,X16934AEP,STANDARD MAG: C = 13.346  K = 13.630,0,1.40,Z,18.956,19.198,,AA TAU,VVS,STD,,,,
2457844.30653,15.541,0.077,,V,DUBF,,000-BKF-957,000-BKM-137,X16934AEP,STANDARD MAG: C = 14.179  K = 14.425,0,1.51,Z,18.766,19.048,,AA TAU,VVS,STD,,,,
2457844.30811,14.103,0.029,,R,DUBF,,000-BKF-957,000-BKM-137,X16934AEP,STANDARD MAG: C = 13.346  K = 13.630,0,1.52,Z,18.624,18.848,,AA TAU,VVS,STD,,,,
2457850.31304,15.936,0.128,,V,DUBF,,000-BKF-957,000-BKM-137,X16934AEP,STANDARD MAG: C = 14.179  K = 14.425,0,1.68,Z,18.469,18.686,,AA TAU,VVS,STD,,,,
2457850.31520,14.648,0.077,,R,DUBF,,000-BKF-957,000-BKM-137,X16934AEP,STANDARD MAG: C = 13.346  K = 13.630,0,1.70,Z,18.481,18.712,,AA TAU,VVS,STD,,,,
2457861.32571,15.768,0.141,,V,DUBF,,000-BKF-957,000-BKM-137,X16934AEP,STANDARD MAG: C = 14.179  K = 14.425,0,2.22,Z,18.437,18.579,,AA TAU,VVS,STD,,,,
2457861.32822,14.564,0.069,,R,DUBF,,000-BKF-957,000-BKM-137,X16934AEP,STANDARD MAG: C = 13.346  K = 13.630,0,2.27,Z,18.418,18.639,,AA TAU,VVS,STD,,,,
2458004.86350,16.607,0.124,,V,MJB,,000-BKF-955,000-BKF-957,13222QC,STANDARD MAG: C = 13.052  K = 14.179,0,1.28,Z,17.693,18.855,,AA TAU,AAVSO,STD,,,,
2458005.85841,16.483,0.121,,V,MJB,,000-BKF-955,000-BKF-957,13222QC,STANDARD MAG: C = 13.052  K = 14.179,0,1.29,Z,17.716,18.866,,AA TAU,AAVSO,STD,,,,
2458006.86079,16.368,0.117,,V,MJB,,000-BKF-955,000-BKF-957,13222QC,STANDARD MAG: C = 13.052  K = 14.179,0,1.26,Z,17.700,18.852,,AA TAU,AAVSO,STD,,,,
2458010.85098,15.689,0.034,,V,MJB,,000-BKF-955,000-BKF-957,13222QC,STANDARD MAG: C = 13.052  K = 14.179,0,1.25,Z,17.374,18.536,,AA TAU,AAVSO,STD,,,,
2458013.82986,16.152,0.038,,V,MJB,,000-BKF-955,000-BKF-957,13222QC,STANDARD MAG: C = 13.052  K = 14.179,0,1.32,Z,17.652,18.825,,AA TAU,AAVSO,STD,,,,
2458015.81723,16.225,0.033,,V,MJB,,000-BKF-955,000-BKF-957,13222QC,STANDARD MAG: C = 13.052  K = 14.179,0,1.37,Z,17.548,18.746,,AA TAU,AAVSO,STD,,,,
